2062	NOPE S.R.L.
1552	VALCO GROUP S.R.L.
1557	FORSAH SERVICE 28 SRL
1235	EMMEVIZETA SRL
196	CONF.FRANCE DI CONTE FRANCO
1899	MARY FASHION S.P.A.
1560	YELLOW S.R.L.
1256	IMATEX SPA
1837	CREA-SI SAS DI TREVISANI MARIA E C.
1234	NESATEX SRL TESSUTI A MAGLIA DI FIBRE N.
1092	SPAZIOSEI S.R.L.
1912	THE PLAY S.R.L.
1541	CAMAC ARTI GRAFICHE S.R.L.
1272	ANNAPURNA SRL
1374	DALLA BENETTA SCHIANTARELLI SPA
753	ZEN S.R.L.
8	CONF.GAMMA S.R.L. unipersonale
1016	MAGL.MAGREB S.P.A.
2099	FOCUS PULL S.R.L.
1512	MAGLIFICIO MODA IN DI VITALI MARIO
998	ALECO SRL
1671	A.N. MODA DI POGGIASPALLA ANTONIO
967	VIEW DI MONICA CRESTAN
1275	SI.MI.RA FASHION SPA
1587	MANIF.RIESE SPA
1090	CREAZIONI PADUS S.R.L.
2190	EFFEBI MAGLIERIE SRL
2159	ART DESIGN S.R.L.
2496	SPAZIO MODA SRL
1037	SISTEMA MODA S.R.L.
2201	LASER STYLE ITALIA SRL
2170	TESSMA S.R.L.
1484	SIMEG S.R.L.
558	MAGLIERIE MAROBE S.R.L.
1661	MAROBE S.R.L.
1113	KISS FASHION S.R.L.UNINOMINALE
2550	MAGLIFICIO PEVE SRL
895	SYSTEM SERVICE S.R.L.
1179	DOMINAE SRL
1089	ROOM 111 SRL
1150	OSLO SRL
1292	CON.FI SNC
1460	CON.FI FASHION SERVICE S.R.L. UNIPERS.
1384	ANTORAF S.R.L.
526	OBERALP S.P.A.
1396	DRESS LINES S.R.L.
736	MARLON S.R.L. CONF.
1114	GUY ROVER S.R.L.
730	MAEL DI MAZZERACCA ELENA
418	PHILTEEN TRADING S.R.L.
1592	MAGLIFICIO MONIA SAS
1614	MAGLIFICIO B.M. BY MARIO BIZZOTTO S.R.L.
1845	F.LLI CAMPAGNOLO S.P.A.
1414	EDILSPORT SPA
1201	CIONTI S.R.L
6	NEW ITALY LTD & C. S.R.L.
1193	TAPA-TAPA di S.FONTANA
1878	COLANTONIO FABRIZIO S.R.L.
1430	CAMPLIN DI MATTEO BRESSAN
1643	PELLETTERIA PRATESE SAS DI CAMBI MARIA&C
1420	FOSTER SPA
1185	BONATO S.R.L.
807	GRUPPO FRANCO ZICHE S.P.A.
1266	FORTE FORTE SRL
879	ALEXANDER S.N.C di Gregori Alessandro
1962	GHERARDI S.R.L.
2037	ZAC SRL
825	GROTTO S.P.A.
784	GROTTO SPA
741	GROTTO SPA LAB.
1284	.BLU&BLU FASHION STYLE DI PONCINA MICH.
1593	TOD'S SPA
1359	MA.NI.CA SNC DI GALLIANO CAMILLO&C.
1883	PAMAR S.N.C. DI PAMIO VITTORINO, BRUNO,
1399	BE MANNER S.R.L.
31	FRABO SRL
248	PROGETTO MODA-CONS.ART.
898	RICAMITALIA SNC di Miotto bRUNO & C.
1559	OFFICINA 3 S.R.L.
1177	MODA FASHION S.R.L.
1889	G.S.T. S.R.L.
1393	M.R. COMPANY S.R.L.
1391	PRIMA S.R.L.-UNINOMINALE
2138	STUDIO IMMAGINE SRL
1720	LUCA RODA S.R.L.
1881	TOP MARKET S.R.L.
1291	CS PRODUCTION SRL
1285	DI.MO SRL
1100	MARCO REARDI DI LUNARDI SERGIO
165	BADUINO S.A.S.
623	ALBERTO BIANI S.P.A.
1707	G & G DI GALDIOLO FABRIZIO
1148	AGOS S.R.L. MODA UOMO
1568	LE TRICOT PERUGIA S.P.A.
612	TESSIL WAY S.R.L.
1270	MODE NOW SRL
1249	ONE WAY S.R.L.
591	CAPE HORN S.R.L.
836	GIACOMO NOVELLO S.R.L.
426	MAGL.MARCHESAN S.R.L.
1449	PROGETTI CONTEMPORANEI S.R.L.
1505	HALIBUT S.R.L.
373	G.C.P.  SRL
667	EINSTEIN S.P.A.
2075	ICAM S.R.L. SOCIETA' UNIPERSONALE
1052	AELLE MODA S.R.L.
1110	EDI.CON S.R.L.
1401	ONLY T-SHIRT S.R.L.
1298	CONFEZIONI DUE EFFE SRL
1250	FABIANA FILIPPI SPA
1880	DALESSANDRO SRL
1597	MAXIMA SRL
1271	"44" DI TISO RENATO
1857	SARTORIA PADOVANA S.R.L.
2049	GTA MODA S.R.L.
1631	MAVET S.R.L.
1322	ROSY GROUP SRL
1333	A&G TRADING SNC
855	MAGL.CIEFFE SRL
662	NIKI CONFEZIONI SRL
416	MAKING S.A.S.DI PERRARO CARLO &C.
1673	ABC S.R.L.
2226	SERIHOUSE SNC
1406	CAMOX SRL
1146	AESSE PROJECTS S.R.L.
1691	MAGLIFICIO MARE S.R.L.
1885	SOMMA & C S.R.L.
1261	T.R.S. EVOLUTION SPA
1419	COMPAGNIA DEL DENIM S.R.L.
2275	MAGLIFICIO RODES SRL
2238	STUDIO CATALDI GROUP SRL
2311	ESSERE SRL
269	MANILA S.R.L.
26	G. AND B. S.R.L.
102	FA RICAMI S.R.L.
1956	ONE COMPANY S.R.L. UNIPERSONALE
2110	LAB S.R.L.
1915	STUDIO VALERIO GROUP & C SNC
2113	ROBERTO VALERIO & C. S.N.C.
1325	PINO COVINO SRL
2305	INCOMO SRL
1452	FEYEM S.P.A.
1124	ROMANO SPA INDUSTRIE ABBIGLIAMENTO
1368	BABY FRANCK DI FRANCESCO BAFFETTI
508	COMPRESSORI AIRCOMP SNC
84	MAGL.ROVER S.R.L.
25	VAPORTEX NUOVA S.R.L.
952	ZANETTI MODA S.R.L.
1556	BETA S.P.A.
1142	GLENFIELD S.R.L. (Socio Unico)
147	MARIO MARI S.R.L.
1162	ARTEMISIA S.R.L.
737	MERCANTI VENETI SRL
537	SPORTSWEAR COMPANY S.P.A.
1218	BLACK STORE SRL
1181	JOSEPH BABY S.R.L.
402	OFFSHORE ITALIA S.P.A.
1074	CORATEX JEANS AND FASHION
2072	CHIROS INDUSTRIE ABBIGLIAMENTO S.R.L.
602	TESSIL CONTROL SYSTEM SRL
899	PIBITEX SNC DI BALDISSEROTTO PIERO & C.
2097	BERRETTIFICIO FRAMAR S.R.L.
1086	KLIMA S.R.L.
1085	PATTERN S.R.L.
1136	PATTERN PRODUCTION SRL
1227	PATTERN SPA
236	INTERNATIONAL COMPANY SRL
729	POZZI CONFEZIONI S.P.A.
1849	ITALIA D'OC S.R.L.
890	PARIS MODE S.P.A.
2	INTERPOOL S.P.A.
1206	COVER ITALIA S.R.L.
1247	WALMODE SRL
833	TASCI S.R.L. SOCIO UNICO
1909	TEC BY TEX SRL
1803	EVA MOS SRL
2521	DRESSING DIFFUSION S.R.L.
1637	G.M. STUDIO S.R.L.
1678	DESY S.A.S. DI VALLE G.& C.
2090	PELLEMODA SRL
1954	LEOMASTER S.P.A.
2290	FABRITEX S.R.L. TESSITURA JACQUARD
2085	MATIA S.R.L.
1791	SPAZIO 11 S.R.L.
1694	AREA B S.P.A.
351	MABITEX S.P.A.
1660	SAN MAURO FASHION S.R.L.
1347	PROMEMORIA MODA SRL
1765	OFFICINA MODA ITALIA S.R.L.
1734	F.A.M.A.R. SRL
2231	GRUPPO M.G SRL
1246	LUIS TRENKER SRL
1321	CONFEZIONI ARCOBALENO DI WU HAIHONG
1001	IDEA HOLDING SRL
1252	BRIGITTE INDUSTRIE S.P.A.
565	CREAZIONI BRIGITTE S.P.A.
1274	BRIGITTE INDUSTRIE S.P.A.
1502	BRIGITTE INDUSTRIE S.R.L.
1842	MANIFATTURE BELLET S.P.A.
809	FLASH & PARTNERS S.P.A
1119	FLASH & PARTNERS S.P.A.
1638	EQUILINE S.R.L.
1677	ALTEO SRL
2166	MODA FLASH SRL
1432	COSI'COM'E' DI ANTONELLA VECCHIATO
1594	MIND S.R.L.
538	DRESSING S.P.A.
1004	DRESSING S.P.A. CAMP.
2251	ST INTERNATIONAL S.R.L.
1263	AESSE S.R.L.
1138	EMI MAGLIA SPA
1378	LA PONY CONFEZIONI S.N.C. DI BARBATO & C
2327	IDEA MODA SRL
1612	QUADRIFOGLIO S.R.L.
2175	SHAKER S.R.L.
378	CONF.REGINA DI GUALTIERO P. & C. SNC
2107	FREUDENBERG PERF.MATERIALS APPAREL S.A.S
2120	WHITE S.R.L.S.
1345	FLAITEX SRL
1031	ELISA CREAZIONI SRL
888	ABC MODA SAS di Peroni Damiano, Paolo &c
531	PRODUZIONE & PROGRESSO S.R.L.
95	PROTEA SRL
460	DAINESE S.P.A.
101	MAGL.EMMEVIZETA S.A.S.
846	MODA5 S.R.L.
1238	AGAIN SRL UNIPERSONALE
224	SALGARI S.R.L.
1118	MONTEBELLO S.R.L.
2002	ALBERTO ASPESI & C. S.P.A.
1283	MAGLIFICIO ROSSI IDEE MODA SRL
1663	AUTHENTIC GOODS FIRM DI LUCA BELLEI
1190	GREENTEX S.R.L.
1221	PONTEX SPA
1569	G.D.P.  S.R.L.
2054	NUOVO RAMMENDO S.R.L.
1966	MAS S.R.L.
121	SINERGY GROUP SRL
1257	ANTRESS INDUSTRY SPA
1115	LINEA UNO S.A.
1754	NEW CHARLESTON S.R.L.
1871	NEGOZI PELLIZZARI S.R.L. UNIPERSONALE
674	REGINA S.R.L.
1654	GARMON S.P.A.
1758	SPACE 2000 S.P.A.
1843	OWENSCORP ITALIA SPA
1817	OWENSCORP ITALIA S.R.L.
2224	JIL SANDER S.P.A.
2613	PORTS 1961 ITALIA SRL
2435	SSHEENA S.R.L.
1344	LA MAISON SRL
709	NEW MARBAS S.P.A.
2607	LAURELS WORKWEAR STUDIOS SRL
2551	ZAMASPORT S.P.A.
1941	COTONIFICIO ALBINI S.P.A.
2056	ANTONIO TRICHILO
1701	EMMEGI S.R.L.
